* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of R1, R2, R3, Dec 29, Dec 29
* Dated: Dec 29, 2022 1:08:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R1, R2, R3, Dec 29, Dec 29
* Measurement: RMS Average 1
* Smoothing: 1/12 octave
* Frequency Step: 1/24 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	86.598
20.600000	86.798
21.200001	86.975
21.799999	87.143
22.400000	87.294
23.000000	87.416
23.600000	87.518
24.299999	87.636
25.000000	87.747
25.799999	87.847
26.500000	87.931
27.200001	88.027
28.000000	88.132
29.000000	88.246
30.000000	88.362
30.700001	88.431
31.500000	88.502
32.500000	88.590
33.500000	88.671
34.500000	88.756
35.500000	88.831
36.500000	88.877
37.500000	88.923
38.700001	88.954
40.000000	88.954
41.200001	88.939
42.500000	88.871
43.700001	88.763
45.000000	88.888
46.200001	89.024
47.500000	89.077
48.700001	89.115
50.000000	89.149
51.500000	89.173
53.000000	89.204
54.500000	89.261
56.000000	89.337
58.000000	89.407
60.000000	89.458
61.500000	89.493
63.000000	89.529
65.000000	89.593
67.000000	89.672
69.000000	89.736
71.000000	89.783
73.000000	89.821
75.000000	89.852
77.500000	89.874
80.000000	89.887
82.500000	89.908
85.000000	89.916
87.500000	89.911
90.000000	89.908
92.500000	89.907
95.000000	89.912
97.500000	89.916
100.000000	89.918
103.000000	89.924
106.000000	89.927
109.000000	89.927
112.000000	89.925
115.000000	89.918
118.000000	89.908
122.000000	89.896
125.000000	89.887
128.000000	89.876
132.000000	89.858
136.000000	89.838
140.000000	89.820
145.000000	89.791
150.000000	89.755
155.000000	89.713
160.000000	89.649
165.000000	89.568
170.000000	89.478
175.000000	89.385
180.000000	89.300
185.000000	89.215
190.000000	89.137
195.000000	89.062
200.000000	88.984
206.000000	88.890
212.000000	88.790
218.000000	88.674
224.000000	88.537
230.000000	88.376
236.000000	88.189
243.000000	87.958
250.000000	87.746
258.000000	87.562
265.000000	87.446
272.000000	87.356
280.000000	87.262
290.000000	87.189
300.000000	87.176
307.000000	87.170
315.000000	87.166
325.000000	87.153
335.000000	87.114
345.000000	87.051
355.000000	86.968
365.000000	86.870
375.000000	86.777
387.000000	86.726
400.000000	86.704
412.000000	86.663
425.000000	86.588
437.000000	86.504
450.000000	86.413
462.000000	86.341
475.000000	86.273
487.000000	86.225
500.000000	86.212
515.000000	86.240
530.000000	86.278
545.000000	86.319
560.000000	86.375
580.000000	86.493
600.000000	86.674
615.000000	86.834
630.000000	87.003
650.000000	87.229
670.000000	87.446
690.000000	87.651
710.000000	87.849
730.000000	88.043
750.000000	88.240
775.000000	88.456
800.000000	88.623
825.000000	88.754
850.000000	88.873
875.000000	88.999
900.000000	89.129
925.000000	89.245
950.000000	89.329
975.000000	89.333
1000.000000	89.148
1030.000000	88.564
1060.000000	87.972
1090.000000	87.883
1120.000000	88.086
1150.000000	88.304
1180.000000	88.480
1220.000000	88.653
1250.000000	88.744
1280.000000	88.860
1320.000000	89.046
1360.000000	89.153
1400.000000	89.204
1450.000000	89.236
1500.000000	89.258
1550.000000	89.273
1600.000000	89.287
1650.000000	89.306
1700.000000	89.340
1750.000000	89.391
1800.000000	89.460
1850.000000	89.565
1900.000000	89.715
1950.000000	89.910
2000.000000	90.146
2060.000000	90.462
2120.000000	90.779
2180.000000	91.114
2240.000000	91.462
2300.000000	91.815
2360.000000	92.167
2430.000000	92.588
2500.000000	93.039
2580.000000	93.615
2650.000000	94.189
2720.000000	94.819
2800.000000	95.445
2900.000000	95.793
3000.000000	95.636
3070.000000	95.219
3150.000000	94.371
3250.000000	92.876
3350.000000	91.415
3450.000000	89.904
3550.000000	88.768
3650.000000	88.800
3750.000000	89.555
3870.000000	90.550
4000.000000	91.411
4120.000000	92.058
4250.000000	92.700
4370.000000	93.301
4500.000000	93.867
4620.000000	94.100
4750.000000	93.994
4870.000000	93.683
5000.000000	93.321
5150.000000	93.099
5300.000000	92.879
5450.000000	92.315
5600.000000	91.474
5800.000000	90.284
6000.000000	90.035
6150.000000	90.113
6300.000000	89.818
6500.000000	88.973
6700.000000	88.745
6900.000000	89.434
7100.000000	90.054
7300.000000	90.288
7500.000000	90.196
7750.000000	89.717
8000.000000	89.335
8250.000000	89.415
8500.000000	89.359
8750.000000	88.672
9000.000000	87.846
9250.000000	87.631
9500.000000	87.933
9750.000000	88.194
10000.000000	87.809
10300.000000	86.133
10600.000000	83.653
10900.000000	81.845
11200.000000	81.587
11500.000000	82.085
11800.000000	82.646
12200.000000	82.160
12500.000000	80.420
12800.000000	78.445
13200.000000	76.740
13600.000000	76.011
14000.000000	75.927
14500.000000	76.283
15000.000000	75.734
15500.000000	76.130
16000.000000	79.414
16500.000000	81.966
17000.000000	80.165
17500.000000	75.155
18000.000000	73.361
18500.000000	74.604
19000.000000	75.178
19500.000000	74.597
